,Order_ID,Customer_Segment,Category,Sales,Profit,Region
0,1,Home Office,Technology,1933,783,North
1,2,Consumer,Office Supplies,1414,522,South
2,3,Home Office,Office Supplies,3593,29,South
3,4,Home Office,Furniture,3238,498,North
4,5,Consumer,Office Supplies,3212,941,South
5,6,Consumer,Office Supplies,198,139,South
6,7,Home Office,Technology,4025,847,South
7,8,Corporate,Office Supplies,1579,779,North
8,9,Home Office,Technology,4496,652,East
9,10,Home Office,Office Supplies,1322,16,East
10,11,Home Office,Office Supplies,4683,861,South
11,12,Home Office,Office Supplies,1104,762,East
12,13,Consumer,Furniture,576,713,South
13,14,Home Office,Technology,1235,946,East
14,15,Corporate,Furniture,2956,319,East
15,16,Consumer,Office Supplies,1805,818,West
16,17,Corporate,Furniture,617,636,South
17,18,Corporate,Technology,1320,910,East
18,19,Corporate,Office Supplies,2606,482,East
19,20,Corporate,Furniture,4425,111,West
20,21,Consumer,Furniture,1291,347,East
21,22,Consumer,Technology,3980,328,West
22,23,Corporate,Furniture,3343,522,East
23,24,Corporate,Technology,2077,34,West
24,25,Consumer,Office Supplies,2342,730,West
25,26,Consumer,Office Supplies,3190,439,North
26,27,Consumer,Furniture,1987,152,South
27,28,Home Office,Office Supplies,4659,718,North
28,29,Home Office,Office Supplies,1073,666,South
29,30,Home Office,Furniture,165,158,East
30,31,Corporate,Office Supplies,3006,702,South
31,32,Home Office,Furniture,670,64,North
32,33,Corporate,Technology,3992,480,South
33,34,Corporate,Technology,407,372,North
34,35,Home Office,Technology,3508,659,South
35,36,Corporate,Furniture,3842,218,East
36,37,Home Office,Furniture,882,194,East
37,38,Home Office,Office Supplies,4316,74,South
38,39,Consumer,Office Supplies,865,558,South
39,40,Home Office,Office Supplies,3575,121,East
40,41,Consumer,Office Supplies,872,272,South
41,42,Home Office,Office Supplies,3957,85,West
42,43,Home Office,Furniture,3285,305,East
43,44,Consumer,Furniture,639,187,East
44,45,Consumer,Technology,2149,775,North
45,46,Home Office,Technology,3383,10,North
46,47,Corporate,Technology,4775,157,West
47,48,Consumer,Technology,1763,885,South
48,49,Corporate,Furniture,1147,680,West
49,50,Corporate,Furniture,3936,845,South
50,51,Corporate,Furniture,3539,995,North
51,52,Consumer,Office Supplies,605,789,South
52,53,Corporate,Office Supplies,3347,671,North
53,54,Consumer,Technology,3600,138,East
54,55,Corporate,Office Supplies,2010,647,East
55,56,Home Office,Furniture,832,522,South
56,57,Home Office,Technology,3613,908,North
57,58,Consumer,Technology,1671,638,West
58,59,Home Office,Office Supplies,4709,981,North
59,60,Home Office,Technology,3042,511,North
60,61,Corporate,Office Supplies,4556,158,North
61,62,Consumer,Office Supplies,2421,278,East
62,63,Corporate,Technology,3435,710,North
63,64,Corporate,Office Supplies,4722,662,South
64,65,Corporate,Office Supplies,4474,114,East
65,66,Corporate,Office Supplies,2853,475,East
66,67,Corporate,Office Supplies,1472,773,East
67,68,Corporate,Technology,1544,938,North
68,69,Corporate,Furniture,3476,911,West
69,70,Consumer,Furniture,389,290,North
70,71,Home Office,Office Supplies,2165,416,North
71,72,Corporate,Office Supplies,163,865,West
72,73,Corporate,Office Supplies,4045,622,North
73,74,Corporate,Furniture,429,803,South
74,75,Corporate,Office Supplies,4958,909,West
75,76,Corporate,Technology,2063,367,South
76,77,Corporate,Technology,3188,684,South
77,78,Home Office,Technology,2590,212,East
78,79,Home Office,Furniture,240,621,East
79,80,Corporate,Office Supplies,4639,290,West
80,81,Home Office,Office Supplies,2573,925,North
81,82,Consumer,Office Supplies,4003,266,South
82,83,Corporate,Furniture,549,103,North
83,84,Consumer,Furniture,1925,333,South
84,85,Consumer,Furniture,4546,800,East
85,86,Corporate,Furniture,4794,748,East
86,87,Home Office,Technology,4906,371,East
87,88,Consumer,Furniture,969,671,West
88,89,Corporate,Furniture,3664,360,South
89,90,Consumer,Furniture,3759,71,North
90,91,Consumer,Office Supplies,3702,650,South
91,92,Consumer,Office Supplies,492,196,North
92,93,Consumer,Office Supplies,941,589,North
93,94,Home Office,Technology,2548,924,North
94,95,Consumer,Technology,2891,551,South
95,96,Consumer,Furniture,3053,906,East
96,97,Consumer,Office Supplies,1458,313,West
97,98,Home Office,Technology,1090,796,West
98,99,Consumer,Office Supplies,1138,648,East
99,100,Consumer,Technology,127,445,West
100,101,Home Office,Technology,487,222,North
101,102,Home Office,Furniture,932,415,West
102,103,Home Office,Furniture,349,827,South
103,104,Consumer,Technology,2127,971,East
104,105,Home Office,Furniture,1628,143,East
105,106,Home Office,Technology,4293,969,East
106,107,Consumer,Technology,1938,926,East
107,108,Home Office,Office Supplies,1460,924,South
108,109,Consumer,Furniture,3209,228,North
109,110,Corporate,Furniture,1423,430,North
110,111,Home Office,Furniture,2326,328,North
111,112,Corporate,Office Supplies,3780,166,West
112,113,Consumer,Office Supplies,991,197,North
113,114,Home Office,Office Supplies,1405,485,West
114,115,Consumer,Furniture,4648,171,South
115,116,Corporate,Furniture,4292,138,West
116,117,Consumer,Furniture,361,313,North
117,118,Home Office,Office Supplies,2440,98,East
118,119,Home Office,Office Supplies,1893,904,South
119,120,Corporate,Technology,2396,926,North
120,121,Consumer,Office Supplies,2392,171,North
121,122,Home Office,Technology,2270,931,North
122,123,Corporate,Furniture,424,45,South
123,124,Home Office,Office Supplies,1085,236,East
124,125,Home Office,Furniture,4882,160,East
125,126,Consumer,Furniture,3952,602,East
126,127,Home Office,Furniture,1839,56,North
127,128,Consumer,Furniture,1960,725,West
128,129,Home Office,Office Supplies,3237,949,North
129,130,Corporate,Furniture,3998,669,East
130,131,Home Office,Technology,935,240,South
131,132,Consumer,Office Supplies,4254,548,West
132,133,Consumer,Furniture,2878,710,West
133,134,Corporate,Office Supplies,1496,174,North
134,135,Home Office,Technology,1776,733,South
135,136,Home Office,Furniture,4431,829,West
136,137,Corporate,Technology,4413,596,East
137,138,Home Office,Furniture,1937,613,North
138,139,Home Office,Technology,3821,583,North
139,140,Consumer,Furniture,3772,75,East
140,141,Home Office,Office Supplies,3122,929,East
141,142,Home Office,Furniture,4784,89,East
142,143,Corporate,Office Supplies,1771,149,West
143,144,Corporate,Furniture,1016,409,South
144,145,Consumer,Furniture,1017,941,West
145,146,Home Office,Technology,1233,139,South
146,147,Home Office,Technology,1936,994,North
147,148,Home Office,Technology,2238,775,South
148,149,Consumer,Furniture,4107,455,East
149,150,Consumer,Furniture,2005,841,West
150,151,Corporate,Furniture,4089,38,East
151,152,Consumer,Office Supplies,3585,997,North
152,153,Home Office,Office Supplies,4897,211,West
153,154,Home Office,Furniture,2220,246,West
154,155,Consumer,Technology,2832,608,East
155,156,Home Office,Technology,2869,617,West
156,157,Home Office,Technology,1421,808,East
157,158,Consumer,Furniture,3816,348,South
158,159,Consumer,Technology,3454,408,North
159,160,Home Office,Furniture,1628,448,East
160,161,Home Office,Office Supplies,4843,298,North
161,162,Home Office,Technology,859,261,West
162,163,Corporate,Office Supplies,3512,986,North
163,164,Corporate,Technology,1457,701,North
164,165,Corporate,Furniture,2290,109,North
165,166,Consumer,Furniture,3581,925,West
166,167,Corporate,Furniture,1048,594,South
167,168,Consumer,Furniture,2179,431,South
168,169,Consumer,Technology,1866,652,South
169,170,Corporate,Office Supplies,127,703,East
170,171,Corporate,Furniture,2570,715,East
171,172,Corporate,Technology,2638,27,West
172,173,Home Office,Office Supplies,259,480,South
173,174,Corporate,Furniture,2992,647,North
174,175,Home Office,Office Supplies,4213,732,South
175,176,Consumer,Furniture,3822,16,East
176,177,Home Office,Office Supplies,3831,428,West
177,178,Corporate,Office Supplies,2571,389,South
178,179,Consumer,Furniture,4950,517,East
179,180,Consumer,Technology,1670,123,East
180,181,Consumer,Office Supplies,936,861,North
181,182,Home Office,Furniture,4038,520,South
182,183,Corporate,Office Supplies,2386,605,North
183,184,Consumer,Office Supplies,3505,860,South
184,185,Consumer,Technology,2770,882,West
185,186,Consumer,Office Supplies,4212,985,South
186,187,Home Office,Office Supplies,4847,623,North
187,188,Home Office,Furniture,4455,478,North
188,189,Corporate,Furniture,1727,102,East
189,190,Home Office,Technology,1966,501,South
190,191,Consumer,Office Supplies,304,837,South
191,192,Corporate,Office Supplies,3679,111,West
192,193,Consumer,Office Supplies,3274,502,East
193,194,Consumer,Technology,891,772,North
194,195,Home Office,Office Supplies,4192,545,South
195,196,Corporate,Furniture,3847,494,East
196,197,Home Office,Technology,1205,998,West
197,198,Home Office,Furniture,1190,488,East
198,199,Corporate,Furniture,1707,886,South
199,200,Consumer,Technology,1939,176,South
200,201,Consumer,Furniture,3497,149,West
201,202,Corporate,Office Supplies,166,103,West
202,203,Consumer,Technology,4879,190,West
203,204,Corporate,Furniture,1378,585,North
204,205,Corporate,Office Supplies,4258,13,East
205,206,Home Office,Office Supplies,913,615,East
206,207,Corporate,Furniture,502,398,East
207,208,Home Office,Office Supplies,2102,281,North
208,209,Consumer,Technology,4266,804,East
209,210,Consumer,Furniture,3025,141,West
210,211,Consumer,Office Supplies,3093,593,East
211,212,Consumer,Office Supplies,1186,825,North
212,213,Home Office,Furniture,4440,913,North
213,214,Consumer,Furniture,2666,602,East
214,215,Corporate,Furniture,4588,521,North
215,216,Corporate,Furniture,871,695,North
216,217,Corporate,Technology,3772,821,East
217,218,Home Office,Furniture,3348,972,North
218,219,Consumer,Technology,1769,996,North
219,220,Consumer,Technology,1656,61,East
220,221,Consumer,Furniture,3058,299,West
221,222,Home Office,Technology,1251,455,West
222,223,Corporate,Furniture,1317,246,North
223,224,Corporate,Furniture,2331,798,South
224,225,Consumer,Office Supplies,4442,500,South
225,226,Corporate,Furniture,4044,289,East
226,227,Corporate,Office Supplies,2142,53,East
227,228,Home Office,Technology,805,891,West
228,229,Home Office,Office Supplies,2769,775,South
229,230,Home Office,Technology,2213,946,East
230,231,Home Office,Furniture,3077,934,South
231,232,Consumer,Technology,4449,368,South
232,233,Home Office,Technology,4478,655,North
233,234,Corporate,Furniture,522,577,North
234,235,Consumer,Technology,2121,535,South
235,236,Corporate,Furniture,3893,699,West
236,237,Corporate,Office Supplies,4231,471,East
237,238,Corporate,Furniture,630,110,East
238,239,Home Office,Furniture,190,701,West
239,240,Home Office,Technology,3472,993,North
240,241,Consumer,Office Supplies,2042,470,North
241,242,Consumer,Furniture,3905,778,West
242,243,Home Office,Office Supplies,1340,277,West
243,244,Corporate,Office Supplies,1858,892,North
244,245,Consumer,Technology,197,371,South
245,246,Home Office,Furniture,1579,417,North
246,247,Home Office,Technology,4726,46,South
247,248,Home Office,Furniture,1932,477,East
248,249,Corporate,Office Supplies,2685,975,East
249,250,Home Office,Furniture,3747,725,South
250,251,Home Office,Furniture,179,990,South
251,252,Home Office,Office Supplies,4809,268,North
252,253,Home Office,Office Supplies,2323,518,West
253,254,Consumer,Furniture,2669,676,South
254,255,Consumer,Technology,1872,759,East
255,256,Home Office,Furniture,4618,318,North
256,257,Corporate,Office Supplies,1223,621,East
257,258,Consumer,Technology,3911,282,North
258,259,Home Office,Office Supplies,3574,634,West
259,260,Consumer,Office Supplies,2723,119,West
260,261,Consumer,Technology,1503,664,East
261,262,Corporate,Office Supplies,2678,688,South
262,263,Home Office,Office Supplies,431,269,South
263,264,Home Office,Office Supplies,4848,666,East
264,265,Corporate,Office Supplies,3708,751,South
265,266,Corporate,Office Supplies,839,916,South
266,267,Home Office,Office Supplies,4706,277,East
267,268,Home Office,Office Supplies,141,41,East
268,269,Corporate,Office Supplies,3978,932,West
269,270,Consumer,Office Supplies,2049,949,East
270,271,Consumer,Furniture,3560,820,West
271,272,Corporate,Furniture,2228,740,West
272,273,Consumer,Office Supplies,4597,186,North
273,274,Corporate,Furniture,2254,113,South
274,275,Consumer,Technology,1337,245,East
275,276,Consumer,Furniture,1866,102,South
276,277,Home Office,Office Supplies,1941,210,North
277,278,Home Office,Office Supplies,605,820,East
278,279,Consumer,Furniture,1941,908,East
279,280,Consumer,Office Supplies,4915,752,North
280,281,Home Office,Technology,1494,934,South
281,282,Home Office,Technology,356,776,West
282,283,Home Office,Office Supplies,1820,606,North
283,284,Corporate,Technology,1171,44,North
284,285,Consumer,Technology,1722,126,East
285,286,Home Office,Furniture,2166,697,West
286,287,Consumer,Technology,1169,467,North
287,288,Corporate,Furniture,550,480,South
288,289,Corporate,Office Supplies,997,944,North
289,290,Home Office,Furniture,4936,994,South
290,291,Corporate,Office Supplies,3828,929,East
291,292,Consumer,Office Supplies,181,797,North
292,293,Home Office,Office Supplies,836,408,South
293,294,Consumer,Office Supplies,4274,606,East
294,295,Consumer,Office Supplies,4044,126,East
295,296,Corporate,Furniture,2307,371,East
296,297,Corporate,Office Supplies,4048,213,North
297,298,Corporate,Technology,2102,155,East
298,299,Corporate,Technology,1791,453,East
299,300,Corporate,Office Supplies,1279,736,South
300,301,Home Office,Technology,3035,626,East
301,302,Consumer,Furniture,2615,870,North
302,303,Consumer,Furniture,561,306,West
303,304,Consumer,Office Supplies,3001,877,East
304,305,Consumer,Office Supplies,216,590,North
305,306,Corporate,Office Supplies,1754,496,East
306,307,Consumer,Technology,4661,995,North
307,308,Home Office,Technology,1898,776,East
308,309,Home Office,Furniture,759,240,South
309,310,Consumer,Technology,3337,212,West
310,311,Consumer,Furniture,2222,371,West
311,312,Home Office,Technology,3919,404,North
312,313,Home Office,Furniture,3443,257,North
313,314,Corporate,Office Supplies,2650,449,West
314,315,Home Office,Technology,4990,923,South
315,316,Corporate,Furniture,1686,405,South
316,317,Corporate,Technology,4782,770,East
317,318,Corporate,Office Supplies,2847,665,South
318,319,Corporate,Furniture,734,804,West
319,320,Corporate,Technology,2982,365,West
320,321,Consumer,Technology,2911,410,South
321,322,Home Office,Office Supplies,4553,250,South
322,323,Corporate,Office Supplies,4115,350,West
323,324,Home Office,Furniture,2839,896,West
324,325,Home Office,Technology,1984,238,West
325,326,Corporate,Technology,1618,552,West
326,327,Consumer,Office Supplies,721,630,West
327,328,Corporate,Office Supplies,4677,940,South
328,329,Consumer,Furniture,1637,548,South
329,330,Home Office,Technology,2437,864,East
330,331,Consumer,Technology,2094,681,East
331,332,Consumer,Furniture,2170,538,North
332,333,Consumer,Furniture,2465,276,East
333,334,Home Office,Office Supplies,2945,138,South
334,335,Home Office,Office Supplies,3138,229,East
335,336,Consumer,Furniture,954,91,East
336,337,Consumer,Furniture,2828,570,South
337,338,Corporate,Technology,1015,562,West
338,339,Consumer,Furniture,231,29,South
339,340,Corporate,Furniture,1216,336,South
340,341,Consumer,Technology,3693,46,North
341,342,Corporate,Furniture,960,391,North
342,343,Home Office,Office Supplies,393,921,North
343,344,Consumer,Office Supplies,2788,48,West
344,345,Consumer,Technology,1099,118,East
345,346,Consumer,Furniture,2396,438,North
346,347,Consumer,Office Supplies,3785,73,South
347,348,Corporate,Office Supplies,386,184,North
348,349,Consumer,Office Supplies,549,800,South
